lang,model,clemscore (Played * Success),% Played,% Success (of Played),Aborted at Player 1 (of Aborted)
de,gpt-4-turbo-2024-04-09,85.56,100.0,85.56,
de,claude-3-opus-20240229,71.11,100.0,71.11,
de,Llama-3-70b-chat-hf,58.33,100.0,58.33,
de,Llama-3-8b-chat-hf,42.77,98.33,43.5,0.0
de,command-r-plus,37.22,100.0,37.22,
de,fsc-openchat-3.5-0106,35.0,98.33,35.59,100.0
en,gpt-4-turbo-2024-04-09,87.22,100.0,87.22,
en,claude-3-opus-20240229,77.22,100.0,77.22,
en,Llama-3-70b-chat-hf,62.78,100.0,62.78,
en,Llama-3-8b-chat-hf,47.78,100.0,47.78,
en,command-r-plus,38.33,99.44,38.55,0.0
en,fsc-openchat-3.5-0106,35.56,100.0,35.56,
it,gpt-4-turbo-2024-04-09,89.44,100.0,89.44,
it,claude-3-opus-20240229,72.22,100.0,72.22,
it,Llama-3-70b-chat-hf,66.67,100.0,66.67,
it,command-r-plus,38.33,100.0,38.33,
it,Llama-3-8b-chat-hf,37.78,100.0,37.78,
it,fsc-openchat-3.5-0106,25.56,46.67,54.76,100.0
ja,gpt-4-turbo-2024-04-09,85.56,100.0,85.56,
ja,claude-3-opus-20240229,68.89,100.0,68.89,
ja,Llama-3-70b-chat-hf,56.11,100.0,56.11,
ja,Llama-3-8b-chat-hf,38.89,98.89,39.33,100.0
ja,command-r-plus,36.11,100.0,36.11,
ja,fsc-openchat-3.5-0106,36.11,100.0,36.11,
pt,gpt-4-turbo-2024-04-09,81.11,100.0,81.11,
pt,claude-3-opus-20240229,73.33,100.0,73.33,
pt,Llama-3-70b-chat-hf,60.56,100.0,60.56,
pt,Llama-3-8b-chat-hf,46.11,100.0,46.11,
pt,command-r-plus,37.22,100.0,37.22,
pt,fsc-openchat-3.5-0106,28.34,50.0,56.67,100.0
te,claude-3-opus-20240229,52.22,100.0,52.22,
te,Llama-3-70b-chat-hf,45.0,99.44,45.25,0.0
te,gpt-4-turbo-2024-04-09,35.0,99.44,35.2,0.0
te,Llama-3-8b-chat-hf,30.0,87.78,34.18,100.0
te,command-r-plus,25.0,83.89,29.8,0.0
te,fsc-openchat-3.5-0106,,0.0,,100.0
tk,gpt-4-turbo-2024-04-09,73.89,98.33,75.14,0.0
tk,claude-3-opus-20240229,61.11,100.0,61.11,
tk,Llama-3-70b-chat-hf,36.11,100.0,36.11,
tk,command-r-plus,21.11,67.78,31.15,48.28
tk,Llama-3-8b-chat-hf,10.0,28.89,34.62,72.66
tk,fsc-openchat-3.5-0106,,0.0,,100.0
tr,claude-3-opus-20240229,58.89,100.0,58.89,
tr,gpt-4-turbo-2024-04-09,50.0,100.0,50.0,
tr,Llama-3-70b-chat-hf,45.0,100.0,45.0,
tr,command-r-plus,35.56,100.0,35.56,
tr,Llama-3-8b-chat-hf,,0.0,,100.0
tr,fsc-openchat-3.5-0106,,0.0,,100.0
zh,Llama-3-70b-chat-hf,68.89,100.0,68.89,
zh,claude-3-opus-20240229,68.89,100.0,68.89,
zh,gpt-4-turbo-2024-04-09,64.45,72.78,88.55,0.0
zh,command-r-plus,38.33,99.44,38.55,0.0
zh,Llama-3-8b-chat-hf,35.0,100.0,35.0,
zh,fsc-openchat-3.5-0106,18.89,46.67,40.48,100.0
