model,latency
gemini-1.5-flash-latest,13.396903850443577
gemma-3-27b-it,3.703643337703201
internlm-xcomposer2d5-7b,6.095479326235735
gpt-4o-2024-05-13,1.0694715724240893
gpt-4o-mini-2024-07-18,0.6847286470238101
Pixtral-12B-2409,0.3775700848214293
InternVL2-Llama3-76B,3.1140705348392013
claude-3-opus-20240229,2.699772376901407
InternVL2-26B,1.0386292812723397
gpt-4o-2024-08-06,0.8286696862643073
InternVL2-40B,1.560712929904897
Idefics3-8B-Llama3,0.5553913162090333
Phi-3-vision-128k-instruct,1.1679793685649185
gpt-4-1106-vision-preview,1.9390430972762691
idefics-80b-instruct,9.909203573061234
Phi-3.5-vision-instruct,0.9667233222621175
idefics-9b-instruct,1.479978911409394
claude-3-5-sonnet-20240620,2.141964378142076
InternVL2-8B,0.5617990863945572
