model,latency
gemma-3-27b-it,5.014309747843937
dolphin-vision-72b,10.190958003739723
idefics-80b-instruct,6.808930391550235
Phi-3-vision-128k-instruct,1.3368420310828883
gpt-4-1106-vision-preview,4.712557435752083
InternVL2-8B,1.9486003278511743
idefics-9b-instruct,4.156911970172682
Idefics3-8B-Llama3,2.724784815802002
Phi-3.5-vision-instruct,1.540488050470711
gpt-4o-mini-2024-07-18,3.6386717433176026
internlm-xcomposer2d5-7b,8.438096179522178
InternVL2-40B,6.267102418391496
gpt-4o-2024-05-13,9.488193374830402
InternVL2-26B,4.239272214812439
Pixtral-12B-2409,1.497673168412233
claude-3-opus-20240229,4.876356864980722
InternVL2-Llama3-76B,10.660117299385416
claude-3-5-sonnet-20240620,3.2490840805236005
gemini-1.5-flash-latest,28.20366964358459
gpt-4o-2024-08-06,3.3857084617187545
