Model Provider,Model Name,Backend ,Link
01-ai,yi-34b-chat,huggingface-local,https://huggingface.co/01-ai/Yi-34B-Chat
01-ai,yi-1.5-6b-chat,huggingface-local,https://huggingface.co/01-ai/Yi-1.5-6B-Chat
01-ai,yi-1.5-9b-chat,huggingface-local,https://huggingface.co/01-ai/Yi-1.5-9B-Chat
01-ai,yi-1.5-34b-chat,huggingface-local,https://huggingface.co/01-ai/Yi-1.5-34B-Chat
Allenai,tulu-2-dpo-70b,huggingface-local,https://huggingface.co/allenai/tulu-2-dpo-70b
Anthropic,claude-2.1,anthropic,https://www.anthropic.com/
Anthropic,claude-3-haiku-20240307,anthropic,https://www.anthropic.com/
Anthropic,claude-3-sonnet-20240229,anthropic,https://www.anthropic.com/
Anthropic,claude-3-opus-20240229,anthropic,https://www.anthropic.com/
cognitivecomputations,dolphin-2.5-mixtral-8x7b,remote,https://www.together.ai/
Cohere,command-r,cohere,https://cohere.com/
Cohere,command-r-plus,cohere,https://cohere.com/
Google,gemma-1.1-7b-it,huggingface-local,https://huggingface.co/google/gemma-1.1-7b-it
Google,gemma-7b-it,huggingface-local,https://huggingface.co/google/gemma-7b-it
Google,gemini-1.5-flash-latest,google,
Google,gemini-1.5-pro-latest,google,
Google,gemini-1.0-pro,google,
MaziyarPanahi,meta-llama-3-8b-instruct-gguf-q4,llama.cpp,https://huggingface.co/MaziyarPanahi/Meta-Llama-3-8B-Instruct-GGUF
MaziyarPanahi,meta-llama-3-8b-instruct-gguf-q8,llama.cpp,https://huggingface.co/MaziyarPanahi/Meta-Llama-3-8B-Instruct-GGUF
MaziyarPanahi,meta-llama-3-70b-instruct-gguf-q4,llama.cpp,https://huggingface.co/MaziyarPanahi/Meta-Llama-3-70B-Instruct-GGUF
MaziyarPanahi,meta-llama-3-70b-instruct-gguf-q8,llama.cpp,https://huggingface.co/MaziyarPanahi/Meta-Llama-3-70B-Instruct-GGUF
Meta,llama-3-8b-instruct-anyscale,remote,http://anyscale.com/
Meta,llama-3-70b-instruct-anyscale,remote,http://anyscale.com/
Meta,llama-2-70b-chat-hf,huggingface-local,https://huggingface.co/meta-llama/Llama-2-70b-chat-hf
Meta,meta-llama-3-8b-instruct-hf ,huggingface-local,https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct
Meta,meta-llama-3-70b-instruct-hf ,huggingface-local,https://huggingface.co/meta-llama/Meta-Llama-3-70B-Instruct
Meta,llama-3-70b-groq,remote,https://groq.com/
Meta,llama-3-70b-together.ai,remote,https://www.together.ai/
Mistralai,mistral-7b-instruct-v0.1,huggingface-local,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.1
Mistralai,mixtral-8x7b-instruct-v0.1,huggingface-local,https://huggingface.co/mistralai/Mistral-8x7b-Instruct-v0.1
Mistralai,mixtral-8x22b-instruct-v0.1,remote,http://anyscale.com/
Mistralai,mistral-medium-2312,mistralai,https://mistral.ai/
Mistralai,mistral-large-2402,mistralai,https://mistral.ai/
Mistralai,mistral-7b-instruct-v0.2,remote,https://www.together.ai/
Nexusflow,starling-lm-7b-beta,huggingface-local,https://huggingface.co/Nexusflow/Starling-LM-7B-beta
NousResearch,nous-hermes-2-mixtral-8x7b-sft,remote,https://www.together.ai/
OpenAI,gpt-3.5-turbo-0125,openai,https://openai.com/
OpenAI,gpt-4-0613,openai,https://openai.com/
OpenAI,gpt-4-1106-preview,openai,https://openai.com/
OpenAI,gpt-4-0125-preview,openai,https://openai.com/
OpenAI,gpt-4-turbo-2024-04-09,openai,https://openai.com/
OpenAI,gpt-4o-2024-05-13,openai,https://openai.com/
Openchat,openchat-3.5,huggingface-local,https://huggingface.co/openchat/openchat_3.5
Openchat,openchat-3.5-1210,huggingface-local,https://huggingface.co/openchat/openchat-3.5-1210
Openchat,openchat-3.5-0106,huggingface-local,https://huggingface.co/openchat/openchat-3.5-0106
pmysl,c4ai-command-r-plus-gguf-q4,llama.cpp,https://huggingface.co/pmysl/c4ai-command-r-plus-GGUF
pmysl,c4ai-command-r-plus-gguf-q8,llama.cpp,https://huggingface.co/pmysl/c4ai-command-r-plus-GGUF
Qwen,qwen1.5-0.5b-chat,huggingface-local,https://huggingface.co/Qwen/Qwen1.5-0.5B-Chat
Qwen,qwen1.5-1.8b-chat,huggingface-local,https://huggingface.co/Qwen/Qwen1.5-1.8B-Chat
Qwen,qwen1.5-7b-chat,huggingface-local,https://huggingface.co/Qwen/Qwen1.5-7B-Chat
Qwen,qwen1.5-14b-chat,huggingface-local,https://huggingface.co/Qwen/Qwen1.5-14B-Chat
Qwen,qwen1.5-32b-chat,huggingface-local,https://huggingface.co/Qwen/Qwen1.5-32B-Chat
Qwen,qwen1.5-72b-chat,remote,https://www.together.ai/
Riid ,sheep-duck-llama-2-70b-v1.1,huggingface-local,https://huggingface.co/Riiid/sheep-duck-llama-2-70b-v1.1
Wizardlmteam,wizardlm-70b-v1.0,huggingface-local,https://huggingface.co/WizardLMTeam/WizardLM-70B-V1.0
