model,avg_in (per turn),avg_out (per turn),total_in (M token),total_out (M token)
gemma-3-27b-it,872,30,2.55,0.06
idefics-80b-instruct,759,38,1.05,0.05
Phi-3-vision-128k-instruct,938,29,3.19,0.06
gpt-4-1106-vision-preview,745,29,1.86,0.05
InternVL2-8B,946,22,4.6,0.07
idefics-9b-instruct,697,23,1.32,0.04
Idefics3-8B-Llama3,782,19,0.9,0.02
Phi-3.5-vision-instruct,914,24,3.08,0.06
gpt-4o-mini-2024-07-18,697,23,1.58,0.04
internlm-xcomposer2d5-7b,734,43,1.26,0.06
InternVL2-40B,927,22,4.33,0.06
gpt-4o-2024-05-13,789,27,2.3,0.05
InternVL2-26B,929,20,4.25,0.06
Pixtral-12B-2409,635,19,1.29,0.03
claude-3-opus-20240229,704,24,1.72,0.04
InternVL2-Llama3-76B,1042,29,4.36,0.08
claude-3-5-sonnet-20240620,706,24,1.8,0.05
gemini-1.5-flash-latest,606,14,1.25,0.02
gpt-4o-2024-08-06,712,25,1.95,0.05
