model,avg_in (per turn),avg_out (per turn),total_in (M token),total_out (M token)
Phi-3-vision-128k-instruct,1062,32,5.02,0.1
InternVL2-26B,1179,33,5.3,0.11
InternVL2-Llama3-76B,1247,43,6.35,0.15
gpt-4o-mini-2024-07-18,883,32,2.96,0.08
Idefics3-8B-Llama3,846,24,2.41,0.05
Phi-3.5-vision-instruct,1204,35,7.11,0.13
claude-3-5-sonnet-20240620,720,33,2.38,0.08
gpt-4o-2024-05-13,988,35,4.11,0.1
gemma-3-27b-it,806,36,2.54,0.09
Pixtral-12B-2409,885,38,2.76,0.09
gpt-4-1106-vision-preview,861,39,3.06,0.11
claude-3-opus-20240229,645,30,1.89,0.07
InternVL2-8B,1292,36,7.34,0.14
InternVL2-40B,1172,34,5.92,0.12
internlm-xcomposer2d5-7b,725,58,1.14,0.09
dolphin-vision-72b,768,84,1.25,0.11
gemini-1.5-flash-latest,761,34,2.44,0.09
gpt-4o-2024-08-06,767,31,2.64,0.08
idefics-9b-instruct,753,44,2.53,0.11
idefics-80b-instruct,845,21,3.63,0.06
