model,input,output
llava-v1.6-34b-hf,75.21158952959028,21.827484825493173
llava-1.5-13b-hf,64.88575912770527,20.674541549644804
gpt-4o-2024-05-13,75.85748966013307,24.597644308577593
idefics-80b-instruct,78.99313962873285,26.81729217110573
gpt-4-1106-vision-preview,89.33790786948177,33.60681381957774
claude-3-opus-20240229,85.69078615400142,26.5266929054395
idefics-9b-instruct,84.60912308297287,28.578057412504915
gemini-1.5-pro-latest,110.2462962962963,11.398148148148149
gemini-1.5-flash-latest,85.99230352303523,24.701680216802167
llava-v1.6-vicuna-13b-hf,65.6787582540091,21.51848040476803
