model,avg_in (per turn),avg_out (per turn),total_in (M token),total_out (M token)
Mistral-Large-Instruct-2407,1924,15,11.46,0.08
SUS-Chat-34B,1420,21,5.81,0.08
Mistral-7B-Instruct-v0.2,643,65,0.89,0.09
Yi-1.5-6B-Chat,1113,246,1.59,0.34
Meta-Llama-3.1-70B-Instruct,2571,18,18.16,0.12
Llama-3.1-Nemotron-70B-Instruct-HF,2706,16,17.07,0.09
gpt-3.5-turbo-0125,2056,14,15.68,0.1
Meta-Llama-3.1-8B-Instruct,2625,18,18.06,0.11
vicuna-33b-v1.3,705,23,1.49,0.04
aya-23-8B,1403,21,4.96,0.07
tulu-2-dpo-70b,865,56,1.54,0.09
llama-2-70b-chat-hf,981,25,2.5,0.06
Qwen1.5-14B-Chat,721,46,1.34,0.08
Yi-34B-Chat,1756,34,5.67,0.1
dolphin-2.5-mixtral-8x7b,2274,16,13.44,0.09
codegemma-7b-it,2075,21,8.94,0.08
command-r,919,45,1.4,0.07
Qwen2-7B-Instruct,627,43,1.01,0.07
gpt-4-turbo-2024-04-09,2444,17,18.25,0.12
gemma-1.1-7b-it,793,37,1.73,0.08
WizardLM-70b-v1.0,711,40,1.61,0.08
gpt-4-0613,2105,15,15.32,0.1
Phi-3-mini-128k-instruct,559,46,0.8,0.06
Meta-Llama-3-8B-Instruct-hf,2508,20,18.58,0.14
aya-23-35B,2638,12,17.31,0.07
gpt-4o-mini-2024-07-18,2546,17,17.86,0.11
claude-3-sonnet-20240229,2168,16,15.33,0.1
claude-2.1,2132,17,15.24,0.11
Nous-Hermes-2-Mixtral-8x7B-SFT,605,33,0.91,0.05
sheep-duck-llama-2-70b-v1.1,598,42,0.9,0.06
o1-preview-2024-09-12,821,60,1.06,0.08
salamandra-7b-instruct,477,42,0.61,0.05
gemini-1.0-pro,2453,16,17.78,0.11
vicuna-13b-v1.5,3039,57,12.73,0.21
Qwen1.5-1.8B-Chat,464,75,0.49,0.08
WizardLM-13b-v1.2,3771,31,20.33,0.15
gemma-1.1-2b-it,521,28,0.8,0.04
gpt-4-0125-preview,2081,19,15.85,0.13
CodeLlama-34b-Instruct-hf,543,41,0.74,0.05
Mixtral-8x22B-Instruct-v0.1,774,58,1.17,0.09
claude-3-haiku-20240307,2227,19,16.3,0.12
Meta-Llama-3.1-405B-Instruct-Turbo,2505,19,18.16,0.12
gemma-2-2b-it,561,38,0.83,0.05
sheep-duck-llama-2-13b,661,72,0.81,0.08
gpt-4-1106-preview,2085,17,15.55,0.12
Yi-1.5-9B-Chat,2945,287,5.46,0.52
gemma-2-9b-it,2554,13,17.29,0.08
Yi-1.5-34B-Chat,1347,243,2.1,0.37
Starling-LM-7B-beta,1153,76,2.1,0.13
gemini-1.5-pro-latest,2296,13,14.86,0.08
openchat-3.5-0106,2028,16,14.18,0.1
Qwen1.5-7B-Chat,1387,33,3.27,0.07
Qwen1.5-0.5B-Chat,511,38,0.7,0.05
gpt-4o-2024-05-13,2525,14,17.49,0.09
Mistral-7B-Instruct-v0.1,1465,20,3.97,0.05
mistral-medium-2312,3877,60,19.51,0.27
Mixtral-8x7B-Instruct-v0.1,856,65,1.42,0.11
openchat_3.5,2594,20,12.82,0.09
Qwen1.5-32B-Chat,1570,32,5.32,0.1
Meta-Llama-3-70B-Instruct-hf,2486,18,17.8,0.12
mistral-large-2402,2252,20,15.9,0.13
Qwen2-72B-Instruct,2599,22,17.75,0.13
claude-3-opus-20240229,2333,19,16.2,0.12
gemma-7b-it,844,71,1.29,0.1
command-r-plus,991,48,1.44,0.07
claude-3-5-sonnet-20240620,2479,18,18.12,0.12
Qwen2.5-Coder-32B-Instruct,2515,12,17.06,0.07
openchat-3.5-1210,2361,16,16.13,0.1
Qwen1.5-72B-Chat,2328,19,16.18,0.12
gemini-1.5-flash-latest,2424,13,16.43,0.08
gemma-2-27b-it,461,48,0.52,0.05
gpt-4o-2024-08-06,2563,15,17.85,0.1
