,"-, clemscore","all, Average % Played","all, Average Quality Score","matchit, % Played","matchit, Quality Score","matchit, Quality Score (std)","matchit_1q, % Played","matchit_1q, Quality Score","matchit_1q, Quality Score (std)","matchit_5q, % Played","matchit_5q, Quality Score","matchit_5q, Quality Score (std)","matchit_ascii, % Played","matchit_ascii, Quality Score","matchit_ascii, Quality Score (std)","matchit_ascii_1q, % Played","matchit_ascii_1q, Quality Score","matchit_ascii_1q, Quality Score (std)","matchit_ascii_5q, % Played","matchit_ascii_5q, Quality Score","matchit_ascii_5q, Quality Score (std)","matchit_ascii_info, % Played","matchit_ascii_info, Quality Score","matchit_ascii_info, Quality Score (std)","matchit_info, % Played","matchit_info, Quality Score","matchit_info, Quality Score (std)","mm_mapworld, % Played","mm_mapworld, Quality Score","mm_mapworld, Quality Score (std)","mm_mapworld_graphs, % Played","mm_mapworld_graphs, Quality Score","mm_mapworld_graphs, Quality Score (std)","mm_mapworld_qa, % Played","mm_mapworld_qa, Quality Score","mm_mapworld_qa, Quality Score (std)","mm_mapworld_specificroom, % Played","mm_mapworld_specificroom, Quality Score","mm_mapworld_specificroom, Quality Score (std)","multimodal_referencegame, % Played","multimodal_referencegame, Quality Score","multimodal_referencegame, Quality Score (std)","referencegame, % Played","referencegame, Quality Score","referencegame, Quality Score (std)","textmapworld, % Played","textmapworld, Quality Score","textmapworld, Quality Score (std)","textmapworld_description, % Played","textmapworld_description, Quality Score","textmapworld_description, Quality Score (std)","textmapworld_graphreasoning, % Played","textmapworld_graphreasoning, Quality Score","textmapworld_graphreasoning, Quality Score (std)","textmapworld_questions, % Played","textmapworld_questions, Quality Score","textmapworld_questions, Quality Score (std)","textmapworld_specificroom, % Played","textmapworld_specificroom, Quality Score","textmapworld_specificroom, Quality Score (std)"
claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,86.23,100.0,86.23,100.0,93.33,21.71,100.0,90.0,27.54,100.0,93.33,21.71,100.0,90.0,25.82,100.0,90.0,23.2,100.0,81.25,37.02,100.0,95.0,15.19,100.0,91.67,26.53,,,,,,,,,,,,,100.0,51.48,50.07,,,,,,,,,,,,,,,,,,
gemini-1.0-pro-vision-latest-t0.0--gemini-1.0-pro-vision-latest-t0.0,39.63,100.0,39.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,39.63,49.0,,,,,,,,,,,,,,,,,,
gemini-1.5-flash-latest-t0.0--gemini-1.5-flash-latest-t0.0,46.3,100.0,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,46.3,49.96,,,,,,,,,,,,,,,,,,
gemini-1.5-pro-latest-t0.0--gemini-1.5-pro-latest-t0.0,69.63,100.0,69.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,69.63,46.07,,,,,,,,,,,,,,,,,,
gpt-4-1106-preview-t0.0--gpt-4-1106-preview-t0.0,85.94,100.0,85.94,,,,,,,,,,100.0,76.25,40.81,100.0,90.0,28.19,100.0,85.0,34.34,100.0,92.5,24.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-1106-vision-preview-t0.0--gpt-4-1106-vision-preview-t0.0,89.77,99.7,90.04,100.0,93.33,21.71,100.0,100.0,0.0,100.0,98.33,9.13,,,,,,,,,,,,,100.0,95.0,20.13,,,,,,,,,,,,,98.52,63.53,48.22,,,,,,,,,,,,,,,,,,
gpt-4o-2024-05-13-t0.0--gpt-4o-2024-05-13-t0.0,95.55,100.0,95.55,100.0,98.33,9.13,100.0,96.67,18.26,100.0,98.33,9.13,100.0,98.75,7.91,100.0,96.25,13.34,100.0,100.0,0.0,100.0,100.0,0.0,100.0,98.33,9.13,,,,,,,,,,,,,100.0,73.33,44.3,,,,,,,,,,,,,,,,,,
idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,25.35,55.92,45.33,86.21,62.0,46.28,86.21,70.0,43.3,93.1,50.0,45.99,80.0,37.5,49.19,77.5,35.48,48.64,90.0,36.11,45.69,74.36,29.31,45.35,86.21,54.0,49.83,20.0,32.78,29.72,50.0,81.36,,3.57,0.0,,33.33,50.0,52.7,100.0,33.7,47.36,100.0,31.11,46.42,6.0,58.71,10.65,10.0,60.67,13.62,,,,10.0,47.85,6.03,0.0,,
idefics-9b-instruct-t0.0--idefics-9b-instruct-t0.0,18.39,48.08,38.24,100.0,33.33,47.95,100.0,33.33,47.95,100.0,33.33,47.95,100.0,50.0,43.85,100.0,23.75,42.35,100.0,56.25,44.13,100.0,58.75,43.69,100.0,33.33,47.95,0.0,,,0.0,,,0.0,,,0.0,,,96.67,31.42,46.51,12.78,30.43,47.05,0.0,,,4.08,36.67,4.71,0.0,,,0.0,,,0.0,,
llava-1.5-13b-hf-t0.0--llava-1.5-13b-hf-t0.0,26.06,52.64,49.5,100.0,68.33,42.51,100.0,75.0,41.0,100.0,65.0,43.85,97.37,31.08,44.65,100.0,51.25,40.01,97.3,30.56,41.88,97.5,46.15,44.99,96.67,67.24,40.7,0.0,,,0.0,,,0.0,,,3.33,0.0,,,,,100.0,35.0,47.83,10.0,48.9,10.06,22.0,51.18,31.81,0.0,,,3.33,40.0,,20.0,83.33,40.82
