model,latency
internlm-xcomposer2d5-7b,6.0954793262357425
gemini-1.5-flash-latest,13.396903850443625
Phi-3-vision-128k-instruct,1.1679793685649187
claude-3-5-sonnet-20240620,2.1419643781420747
Phi-3.5-vision-instruct,0.9667233222621185
InternVL2-Llama3-76B,3.114070534839198
claude-3-opus-20240229,2.6997723769014086
InternVL2-40B,1.560712929904895
idefics-9b-instruct,1.4799789114093964
InternVL2-26B,1.0386292812723414
gpt-4-1106-vision-preview,1.9390430972762678
gpt-4o-2024-08-06,0.828669686264308
gpt-4o-2024-05-13,1.0694715724240904
InternVL2-8B,0.561799086394556
idefics-80b-instruct,9.909203573061228
gpt-4o-mini-2024-07-18,0.6847286470238101
Pixtral-12B-2409,0.377570084821429
Idefics3-8B-Llama3,0.5553913162090348
