,game,model,experiment,episode,metric,value
0,referencegame,gpt-4o-2024-05-13-t0.0--gpt-4o-2024-05-13-t0.0,2_diagonal_grids,episode_5,Generated Expression Length,129.0
1,referencegame,gpt-4o-2024-05-13-t0.0--gpt-4o-2024-05-13-t0.0,2_diagonal_grids,episode_5,Generated Expression Number of Tokens,23.0
2,referencegame,gpt-4o-2024-05-13-t0.0--gpt-4o-2024-05-13-t0.0,2_diagonal_grids,episode_5,Aborted at Player 1,0.0
3,referencegame,gpt-4o-2024-05-13-t0.0--gpt-4o-2024-05-13-t0.0,2_diagonal_grids,episode_5,Aborted at Player 2,0.0
4,referencegame,gpt-4o-2024-05-13-t0.0--gpt-4o-2024-05-13-t0.0,2_diagonal_grids,episode_5,Request Count,2.0
5,referencegame,gpt-4o-2024-05-13-t0.0--gpt-4o-2024-05-13-t0.0,2_diagonal_grids,episode_5,Parsed Request Count,2.0
6,referencegame,gpt-4o-2024-05-13-t0.0--gpt-4o-2024-05-13-t0.0,2_diagonal_grids,episode_5,Violated Request Count,0.0
7,referencegame,gpt-4o-2024-05-13-t0.0--gpt-4o-2024-05-13-t0.0,2_diagonal_grids,episode_5,Success,1.0
8,referencegame,gpt-4o-2024-05-13-t0.0--gpt-4o-2024-05-13-t0.0,2_diagonal_grids,episode_5,Lose,0.0
9,referencegame,gpt-4o-2024-05-13-t0.0--gpt-4o-2024-05-13-t0.0,2_diagonal_grids,episode_5,Aborted,0.0
10,referencegame,gpt-4o-2024-05-13-t0.0--gpt-4o-2024-05-13-t0.0,2_diagonal_grids,episode_5,Main Score,100.0
11,referencegame,gpt-4o-2024-05-13-t0.0--gpt-4o-2024-05-13-t0.0,2_diagonal_grids,episode_5,Request Success Ratio,1.0
12,referencegame,gpt-4o-2024-05-13-t0.0--gpt-4o-2024-05-13-t0.0,2_diagonal_grids,episode_2,Generated Expression Length,110.0
