model,latency
internlm-xcomposer2d5-7b,8.438096179522178
gemini-1.5-flash-latest,28.203669643584504
Phi-3-vision-128k-instruct,1.3368420310828881
claude-3-5-sonnet-20240620,3.2490840805236054
Phi-3.5-vision-instruct,1.5404880504707106
InternVL2-Llama3-76B,10.660117299385435
claude-3-opus-20240229,4.876356864980708
InternVL2-40B,6.267102418391496
idefics-9b-instruct,4.156911970172684
InternVL2-26B,4.239272214812444
gpt-4-1106-vision-preview,4.712557435752071
gpt-4o-2024-08-06,3.385708461718741
gpt-4o-2024-05-13,9.48819337483039
InternVL2-8B,1.9486003278511708
idefics-80b-instruct,6.808930391550237
gpt-4o-mini-2024-07-18,3.638671743317617
dolphin-vision-72b,10.190958003739706
Pixtral-12B-2409,1.4976731684122304
Idefics3-8B-Llama3,2.724784815801995
