model,latency
gemma-1.1-7b-it,0.17829538783454896
Qwen2-72B-Instruct,0.9480584860151349
Phi-3-mini-128k-instruct,0.6615315832127382
vicuna-33b-v1.3,0.8235025152162279
gpt-4-1106-preview,0.7767265743542707
Yi-34B-Chat,1.2871676207135436
Nous-Hermes-2-Mixtral-8x7B-SFT,0.8608922633033881
openchat-3.5-1210,0.28049827691029705
gemma-1.1-2b-it,0.11925699461279453
gemini-1.5-flash-latest,37.2042672100488
mistral-medium-2312,3.3167870515212066
gemma-7b-it,0.6112263564356466
Mixtral-8x7B-Instruct-v0.1,0.93929676606363
gemma-2-9b-it,0.36925533244325737
gpt-4-0125-preview,1.0418927523113661
gpt-3.5,0.682960101619372
gemini-1.5-pro-latest,82.90283880578033
aya-23-35B,0.5755088395104289
gpt-4,0.9930876319528404
Meta-Llama-3.1-405B-Instruct-Turbo,0.7886103946545825
claude-3-5-sonnet-20240620,0.8799292818885421
WizardLM-13b-v1.2,3.5654367625763084
Yi-1.5-34B-Chat,9.232551962889323
Qwen1.5-72B-Chat,12.68966892765821
Qwen2-7B-Instruct,0.3589407217948735
dolphin-2.5-mixtral-8x7b,1.100729847312238
Mistral-7B-Instruct-v0.1,0.28286475507717407
Mistral-Large-Instruct-2407,1.244466768863421
Mistral-7B-Instruct-v0.2,0.7635151196709042
mistral-large-2402,0.39674165988939536
claude-3-opus-20240229,2.9558458279177637
Qwen1.5-32B-Chat,0.5092292557397973
Meta-Llama-3.1-8B-Instruct,0.206305748406081
gemini-1.0-pro,0.634687656711775
Starling-LM-7B-beta,1.3650022970296987
claude-3-haiku-20240307,0.8695497396191061
codegemma-7b-it,0.30489740508652263
openchat-3.5-0106,0.29209514505566814
SUS-Chat-34B,2.279514761069113
Meta-Llama-3.1-70B-Instruct,0.8105055275945332
Qwen1.5-0.5B-Chat,0.17346913937547526
gemma-2-27b-it,0.9922771009345781
Yi-1.5-9B-Chat,8.023524220188548
gemma-2-2b-it,0.31398215179198874
vicuna-13b-v1.5,1.4753938719676543
tulu-2-dpo-70b,7.848597339328547
gpt-4o-2024-08-06,0.516958753189401
gpt-4o-2024-05-13,0.5570990732389748
command-r-plus,0.3104016019283747
WizardLM-70b-v1.0,3.924977203883495
CodeLlama-34b-Instruct-hf,3.851887315425933
Meta-Llama-3-8B-Instruct-hf,2.116447543256808
Qwen1.5-14B-Chat,0.37289333481153325
llama-2-70b-chat-hf,4.724659620079616
openchat_3.5,0.3172876868462073
claude-2.1,1.6836316221022496
gpt-4-0613,0.6484411465828739
gpt-4o-mini-2024-07-18,0.534268415008894
Yi-1.5-6B-Chat,6.49674110384895
Meta-Llama-3-70B-Instruct-hf,3.348256158662231
claude-3-sonnet-20240229,1.4194860128225948
aya-23-8B,0.4818848185613353
command-r,0.18832414914586088
Qwen1.5-1.8B-Chat,0.5502705450000027
sheep-duck-llama-2-13b,2.9462099794520498
Qwen1.5-7B-Chat,0.3898907690883867
sheep-duck-llama-2-70b-v1.1,5.524607914346894
Mixtral-8x22B-Instruct-v0.1,1.075935456357389
