,"-, clemscore","adventuregame, % Played","adventuregame, Quality Score","adventuregame, Quality Score (std)","all, Average % Played","all, Average Quality Score","codenames, % Played","codenames, Quality Score","codenames, Quality Score (std)","guesswhat, % Played","guesswhat, Quality Score","guesswhat, Quality Score (std)","imagegame, % Played","imagegame, Quality Score","imagegame, Quality Score (std)","matchit_ascii, % Played","matchit_ascii, Quality Score","matchit_ascii, Quality Score (std)","privateshared, % Played","privateshared, Quality Score","privateshared, Quality Score (std)","referencegame, % Played","referencegame, Quality Score","referencegame, Quality Score (std)","taboo, % Played","taboo, Quality Score","taboo, Quality Score (std)","textmapworld, % Played","textmapworld, Quality Score","textmapworld, Quality Score (std)","textmapworld_graphreasoning, % Played","textmapworld_graphreasoning, Quality Score","textmapworld_graphreasoning, Quality Score (std)","textmapworld_specificroom, % Played","textmapworld_specificroom, Quality Score","textmapworld_specificroom, Quality Score (std)","wordle, % Played","wordle, Quality Score","wordle, Quality Score (std)","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withclue, Quality Score (std)","wordle_withcritic, % Played","wordle_withcritic, Quality Score","wordle_withcritic, Quality Score (std)"
Llama-3.3-70B-Instruct-t0.0--Llama-3.3-70B-Instruct-t0.0,48.55,95.31,60.16,41.42,72.33,67.12,80.0,36.54,48.39,88.33,37.74,31.38,90.0,87.52,14.06,80.0,71.88,45.68,100.0,86.75,18.14,,,,100.0,55.28,42.13,100.0,68.02,10.18,26.67,54.32,5.97,86.67,100.0,0.0,53.33,14.38,34.25,23.33,100.0,0.0,16.67,100.0,0.0
Meta-Llama-3.1-70B-Instruct-t0.0--Meta-Llama-3.1-70B-Instruct-t0.0,49.62,94.53,62.76,40.69,76.32,65.01,90.0,41.03,49.4,85.0,25.49,18.36,93.33,87.66,15.53,95.0,60.53,49.54,100.0,83.88,17.21,,,,91.67,65.45,42.53,96.0,69.81,9.04,50.0,53.02,6.36,93.33,100.0,0.0,83.33,8.8,21.47,16.67,86.67,29.82,3.33,100.0,
Meta-Llama-3.1-8B-Instruct-t0.0--Meta-Llama-3.1-8B-Instruct-t0.0,26.69,46.09,40.1,42.32,52.11,51.21,52.31,27.94,45.2,91.67,13.33,18.81,63.33,54.34,19.1,90.0,69.44,46.72,62.0,53.11,14.94,,,,93.33,31.85,40.49,22.0,55.54,11.56,40.0,49.19,12.53,63.33,100.0,0.0,40.0,8.33,28.87,6.67,62.5,53.03,6.67,100.0,0.0
Qwen2-72B-Instruct-t0.0--Qwen2-72B-Instruct-t0.0,34.0,58.59,49.48,42.45,61.05,55.7,58.46,35.53,48.18,88.33,72.33,37.4,0.0,,,100.0,57.5,50.06,94.0,71.88,23.68,,,,95.0,60.82,42.55,96.0,67.98,8.7,56.67,63.11,9.19,80.0,100.0,0.0,40.0,1.67,5.77,3.33,33.33,,23.33,54.76,45.86
Qwen2.5-72B-Instruct-t0.0--Qwen2.5-72B-Instruct-t0.0,40.82,58.59,49.22,39.9,67.66,60.33,72.31,41.49,49.53,,,,43.33,91.5,10.41,100.0,80.0,40.51,100.0,43.62,30.55,,,,,,,100.0,64.4,13.65,76.67,56.85,13.59,86.67,100.0,0.0,60.0,11.11,24.71,23.33,60.0,50.33,23.33,65.48,44.21
Qwen2.5-7B-Instruct-t0.0--Qwen2.5-7B-Instruct-t0.0,17.86,15.62,11.72,23.14,35.18,50.78,21.54,28.57,46.0,43.33,39.74,42.18,1.67,0.0,,92.5,83.78,37.37,2.0,88.89,,,,,100.0,29.44,42.23,84.0,61.37,13.62,6.67,36.67,4.71,66.67,80.0,41.04,10.0,0.0,0.0,6.67,100.0,0.0,6.67,100.0,0.0
Qwen2.5-Coder-32B-Instruct-t0.0--Qwen2.5-Coder-32B-Instruct-t0.0,32.57,60.94,57.55,40.28,67.3,48.39,62.31,33.33,47.43,93.33,38.1,47.32,0.0,,,85.0,67.65,47.49,100.0,50.9,27.53,,,,96.67,56.32,46.5,100.0,68.45,11.57,56.67,60.27,10.15,80.0,95.83,20.41,63.33,2.11,6.31,46.67,18.69,35.53,30.0,31.48,42.85
Qwen2.5-Coder-7B-Instruct-t0.0--Qwen2.5-Coder-7B-Instruct-t0.0,18.82,1.56,1.3,7.72,43.75,43.02,3.85,40.0,54.77,75.0,27.41,35.74,60.0,13.89,26.38,100.0,50.0,50.64,0.0,,,,,,78.33,25.53,42.82,100.0,50.13,21.68,53.33,42.7,20.23,76.67,65.22,48.7,3.33,0.0,,10.0,100.0,0.0,6.67,100.0,0.0
claude-3-5-sonnet-20241022-t0.0--claude-3-5-sonnet-20241022-t0.0,64.23,92.97,76.3,38.6,85.61,75.03,93.85,50.0,50.21,100.0,67.78,43.81,96.67,98.26,5.24,100.0,87.5,33.49,100.0,92.41,9.24,100.0,93.33,25.08,61.67,80.18,28.56,100.0,89.5,12.12,50.0,78.02,13.59,100.0,96.67,18.26,76.67,27.39,31.94,53.33,65.1,34.19,73.33,48.03,43.14
deepseek-r1-t0.0--deepseek-r1-t0.0,45.38,,,,85.38,53.15,85.38,53.15,50.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
