,"-, clemscore","adventuregame, % Played","adventuregame, Quality Score","adventuregame, Quality Score (std)","all, Average % Played","all, Average Quality Score","codenames, % Played","codenames, Quality Score","codenames, Quality Score (std)","matchit_ascii, % Played","matchit_ascii, Quality Score","matchit_ascii, Quality Score (std)","privateshared, % Played","privateshared, Quality Score","privateshared, Quality Score (std)","textmapworld, % Played","textmapworld, Quality Score","textmapworld, Quality Score (std)","textmapworld_graphreasoning, % Played","textmapworld_graphreasoning, Quality Score","textmapworld_graphreasoning, Quality Score (std)","textmapworld_specificroom, % Played","textmapworld_specificroom, Quality Score","textmapworld_specificroom, Quality Score (std)"
Llama-3.3-70B-Instruct-t0.0--Llama-3.3-70B-Instruct-t0.0,61.0,99.22,60.16,41.42,81.68,74.68,79.23,81.61,20.59,80.0,71.88,45.68,100.0,86.75,18.14,100.0,68.02,10.18,26.67,54.32,5.97,86.67,100.0,0.0
Meta-Llama-3-8B-Instruct-t0.0--Meta-Llama-3-8B-Instruct-t0.0,8.83,54.69,16.15,29.57,54.69,16.15,,,,,,,,,,,,,,,,,,
Meta-Llama-3.1-70B-Instruct-t0.0--Meta-Llama-3.1-70B-Instruct-t0.0,64.56,98.44,62.76,40.69,88.97,72.56,90.0,77.93,19.75,95.0,60.53,49.54,100.0,83.88,17.21,96.0,69.81,9.04,50.0,53.02,6.36,93.33,100.0,0.0
Meta-Llama-3.1-8B-Instruct-t0.0--Meta-Llama-3.1-8B-Instruct-t0.0,38.45,99.22,40.1,42.32,61.27,62.76,52.31,71.97,27.22,90.0,69.44,46.72,62.0,53.11,14.94,22.0,55.54,11.56,40.0,49.19,12.53,63.33,100.0,0.0
Qwen2-72B-Instruct-t0.0--Qwen2-72B-Instruct-t0.0,57.28,93.75,49.48,42.45,82.7,69.26,58.46,74.88,25.71,100.0,57.5,50.06,94.0,71.88,23.68,96.0,67.98,8.7,56.67,63.11,9.19,80.0,100.0,0.0
Qwen2.5-72B-Instruct-t0.0--Qwen2.5-72B-Instruct-t0.0,61.52,94.53,49.22,39.9,90.03,68.33,72.31,84.21,18.52,100.0,80.0,40.51,100.0,43.62,30.55,100.0,64.4,13.65,76.67,56.85,13.59,86.67,100.0,0.0
Qwen2.5-7B-Instruct-t0.0--Qwen2.5-7B-Instruct-t0.0,32.21,94.53,11.72,23.14,52.56,61.28,21.54,66.5,27.94,92.5,83.78,37.37,2.0,88.89,,84.0,61.37,13.62,6.67,36.67,4.71,66.67,80.0,41.04
Qwen2.5-Coder-32B-Instruct-t0.0--Qwen2.5-Coder-32B-Instruct-t0.0,55.44,96.09,57.55,40.28,81.44,68.07,52.31,75.85,17.95,85.0,67.65,47.49,100.0,50.9,27.53,100.0,68.45,11.57,56.67,60.27,10.15,80.0,95.83,20.41
Qwen2.5-Coder-7B-Instruct-t0.0--Qwen2.5-Coder-7B-Instruct-t0.0,27.83,86.72,1.3,7.72,60.08,46.32,3.85,68.6,33.3,100.0,50.0,50.64,0.0,,,100.0,50.13,21.68,53.33,42.7,20.23,76.67,65.22,48.7
Sky-T1-32B-Preview-t0.0--Sky-T1-32B-Preview-t0.0,31.77,100.0,31.77,39.65,100.0,31.77,,,,,,,,,,,,,,,,,,
openchat_3.5-t0.0--openchat_3.5-t0.0,10.42,85.16,12.24,24.7,85.16,12.24,,,,,,,,,,,,,,,,,,
